name,code,description,layer,parent
Pirojpur[Terr](C),Pirojpur[Terr](C),Pirojpur[Terr](C),Territory,Khulna[Reg](C)
Satkhira[Terr](C),Satkhira[Terr](C),Satkhira[Terr](C),Territory,Khulna[Reg](C)
Jessore[Terr](C),Jessore[Terr](C),Jessore[Terr](C),Territory,Jessore[Reg](C)
Jhenaidah[Terr](C),Jhenaidah[Terr](C),Jhenaidah[Terr](C),Territory,Jessore[Reg](C)
Norail[Terr](C),Norail[Terr](C),Norail[Terr](C),Territory,Jessore[Reg](C)
Kustia[Terr](C),Kustia[Terr](C),Kustia[Terr](C),Territory,Jessore[Reg](C)
Chuadanga[Terr](C),Chuadanga[Terr](C),Chuadanga[Terr](C),Territory,Jessore[Reg](C)
Barishal[Terr](C),Barishal[Terr](C),Barishal[Terr](C),Territory,Barisal[Reg](C)
Bhola[Terr](C),Bhola[Terr](C),Bhola[Terr](C),Territory,Barisal[Reg](C)
Jhalokathi[Terr](C),Jhalokathi[Terr](C),Jhalokathi[Terr](C),Territory,Barisal[Reg](C)
Torki[Terr](C),Torki[Terr](C),Torki[Terr](C),Territory,Barisal[Reg](C)
Potuakhali[Terr](C),Potuakhali[Terr](C),Potuakhali[Terr](C),Territory,Potuakhali[Reg](C)
Borguna[Terr](C),Borguna[Terr](C),Borguna[Terr](C),Territory,Potuakhali[Reg](C)
Motbaria[Terr](C),Motbaria[Terr](C),Motbaria[Terr](C),Territory,Potuakhali[Reg](C)
Faridpur[Terr](C),Faridpur[Terr](C),Faridpur[Terr](C),Territory,Faridpur[Reg](C)
Rajbari[Terr](C),Rajbari[Terr](C),Rajbari[Terr](C),Territory,Faridpur[Reg](C)
Madaripur[Terr](C),Madaripur[Terr](C),Madaripur[Terr](C),Territory,Faridpur[Reg](C)
Gopalgonj[Terr](C),Gopalgonj[Terr](C),Gopalgonj[Terr](C),Territory,Faridpur[Reg](C)
Vhanga[Terr](C),Vhanga[Terr](C),Vhanga[Terr](C),Territory,Faridpur[Reg](C)
